Identity	Bloc	Trt	Wound	Strain	Initial_Mass	Initial_Number	2	4	7	9	11	14	16	18	2	4	7	9	11	14	16	18
3-Gre7BacNon-B7	B7	Bac	Non	Gre	5852	10	7217	8434	9229	10137	10685	12549	12915	12849	10	10	10	10	10	9	9	9
4-Gre7LevNon-B7	B7	Lev	Non	Gre	6811	10	8706	9324	10204	11970	12609	13904	13643	7939	10	10	10	10	10	10	10	6
5-Ita7LevNon-B7	B7	Lev	Non	Ita	6141	10	7426	7958	8174	9185	10415	12729	12648	11217	10	10	10	10	10	10	10	9
6-Can7LevNon-B7	B7	Lev	Non	Can	4656	10	6274	6638	7361	8799	9779	11819	11862	11820	10	10	10	10	10	10	10	10
7-Ita7BacSer-B7	B7	Bac	Ser	Ita	6163	10	6484	6470	6985	7860	8201	7929	8231	8416	10	10	10	10	10	9	9	9
8-Can7BacSer-B7	B7	Bac	Ser	Can	4706	10	5138	5390	5896	7171	7122	8089	8867	9180	10	10	10	10	9	8	8	8
9-Gre7BacSer-B7	B7	Bac	Ser	Gre	5177	10	6040	6141	7503	8155	8945	10583	11615	11592	10	10	10	10	10	10	10	9
10-Ita7LevSte-B7	B7	Lev	Ste	Ita	5161	10	6160	7122	7849	8587	9365	12092	12427	12362	10	10	10	10	10	10	10	10
11-Can7LevSte-B7	B7	Lev	Ste	Can	4407	10	5415	5845	6789	7913	8315	10483	10946	10813	10	10	10	10	10	10	10	10
12-Gre7LevSte-B7	B7	Lev	Ste	Gre	4832	10	5621	6184	7121	7803	8436	10237	10619	10657	10	10	10	10	10	10	10	9
13-Can7BacSte-B7	B7	Bac	Ste	Can	4471	10	4969	5795	6108	6960	7873	9029	9789	9674	9	9	9	9	9	9	9	9
14-Gre7BacSte-B7	B7	Bac	Ste	Gre	5881	10	6977	7963	8447	9731	10530	12808	12739	12848	10	10	10	10	10	10	9	9
15-Ita7BacSte-B7	B7	Bac	Ste	Ita	4724	10	5605	6582	6849	7715	8740	10744	10721	10878	10	10	10	10	10	10	10	10
16-Gre7ConNon-B7	B7	Con	Non	Gre	5201	10	6033	7421	8099	8906	9857	13298	13280	13218	10	10	10	10	10	10	10	10
17-Can7ConNon-B7	B7	Con	Non	Can	5028	10	6000	7116	8234	8307	8804	12299	12702	12453	10	10	10	10	10	10	10	10
18-Ita7ConNon-B7	B7	Con	Non	Ita	5329	10	5579	5872	8259	9566	9396	11512	12474	11475	10	10	10	10	10	10	10	9
19-Gre7ConSte-B7	B7	Con	Ste	Gre	4491	10	5864	6848	7254	7840	8958	12105	12433	11956	10	10	10	10	10	10	10	9
20-Ita7ConSte-B7	B7	Con	Ste	Ita	5982	10	7072	8000	8946	9995	10699	13257	13706	12246	10	10	10	10	10	10	10	9
21-Can7ConSte-B7	B7	Con	Ste	Can	4332	10	5278	5661	5615	7845	8529	9399	9318	9755	10	10	10	10	10	10	10	10
22-Ita7ConSer-B7	B7	Con	Ser	Ita	4981	10	6039	6887	6668	7984	8823	10235	10225	10262	10	10	10	10	10	10	10	10
23-Can7ConSer-B7	B7	Con	Ser	Can	4083	10	4678	5237	5706	5726	6276	8410	8365	7883	10	10	10	10	10	10	9	9
24-Gre7ConSer-B7	B7	Con	Ser	Gre	5058	10	5699	6414	7044	7835	7981	10438	10055	10064	10	10	10	10	10	10	10	10
25-Ita7LevSer-B7	B7	Lev	Ser	Ita	6491	10	7225	7563	6989	8254	8983	8162	8010	6805	10	9	9	8	8	7	7	6
