Identity,Bloc,Trt,Wound,Strain,Initial_Mass,Initial_Number,Initial_Mean,group,Time,Growth_Rate,Times
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,2,8.5,2
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,4,9.933333333333309,4
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,7,21.055555555555582,7
11-Ita6BacSte-B6,B6,Bac,Ste,Ita,4783,10,478.3,Ste Bac,9,93.75,9
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,11,52,11
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,14,42.259259259259274,14
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,16,52.625,16
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,18,17.625,18
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,2,43.79259259259262,2
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,4,30.16666666666663,4
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,7,7.185185185185181,7
11-Ita8BacSer-B8,B8,Bac,Ser,Ita,4644,10,464.4,Ser Bac,9,52.27777777777777,9
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,11,36,11
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,14,41.499999999999964,14
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,16,34.10000000000002,16
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,18,37.405555555555566,18
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,2,31.100000000000023,2
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,4,67.75,4
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,7,18.466666666666658,7
12-Can1ConNon-B1,B1,Con,Non,Can,5328,10,532.8,Non Con,9,53.30000000000001,9
12-Can3BacSer-B3,B3,Bac,Ser,Can,4748,10,474.8,Ser Bac,11,18.55000000000001,11
12-Can3BacSer-B3,B3,Bac,Ser,Can,4748,10,474.8,Ser Bac,14,70.56666666666665,14
