Identity,Bloc,Trt,Wound,Strain,Time,Initial_Mass,Initial_Number,Initial_Mean,Mean,group,Mort_Acc,Times,Biomass
10-Ita9BacNon-B9,B9,Bac,Non,Ita,4,5245,10,524.5,673.9,Ita Non,0,4,6739
10-Ita9BacNon-B9,B9,Bac,Non,Ita,7,5245,10,524.5,791,Ita Non,0,7,7910
10-Ita9BacNon-B9,B9,Bac,Non,Ita,9,5245,10,524.5,912.3,Ita Non,0,9,9123
11-Can2LevSer-B2,B2,Lev,Ser,Can,0,5956,10,595.6,595.6,Can Ser,0,0,5956
11-Can2LevSer-B2,B2,Lev,Ser,Can,11,5956,10,595.6,1083.75,Can Ser,2,11,8670
11-Can2LevSer-B2,B2,Lev,Ser,Can,14,5956,10,595.6,1169.375,Can Ser,2,14,9355
11-Can2LevSer-B2,B2,Lev,Ser,Can,16,5956,10,595.6,1205.5714285714287,Can Ser,2,16,9644.57142857143
11-Can2LevSer-B2,B2,Lev,Ser,Can,18,5956,10,595.6,1188.142857142857,Can Ser,2,18,9505.142857142857
11-Can2LevSer-B2,B2,Lev,Ser,Can,2,5956,10,595.6,676.7777777777778,Can Ser,1,2,6091
11-Can2LevSer-B2,B2,Lev,Ser,Can,4,5956,10,595.6,817.75,Can Ser,2,4,6542
11-Can2LevSer-B2,B2,Lev,Ser,Can,7,5956,10,595.6,903.25,Can Ser,2,7,7226
11-Can2LevSer-B2,B2,Lev,Ser,Can,9,5956,10,595.6,987.125,Can Ser,2,9,7897
11-Can7LevSte-B7,B7,Lev,Ste,Can,0,4407,10,440.7,440.7,Can Ste,0,0,4407
11-Can7LevSte-B7,B7,Lev,Ste,Can,11,4407,10,440.7,831.5,Can Ste,0,11,8315
11-Can7LevSte-B7,B7,Lev,Ste,Can,14,4407,10,440.7,1048.3,Can Ste,0,14,10483
11-Can7LevSte-B7,B7,Lev,Ste,Can,16,4407,10,440.7,1094.6,Can Ste,0,16,10946
11-Can7LevSte-B7,B7,Lev,Ste,Can,18,4407,10,440.7,1081.3,Can Ste,0,18,10813
11-Can7LevSte-B7,B7,Lev,Ste,Can,2,4407,10,440.7,541.5,Can Ste,0,2,5415
11-Can7LevSte-B7,B7,Lev,Ste,Can,4,4407,10,440.7,584.5,Can Ste,0,4,5845
11-Can7LevSte-B7,B7,Lev,Ste,Can,7,4407,10,440.7,678.9,Can Ste,0,7,6789
11-Can7LevSte-B7,B7,Lev,Ste,Can,9,4407,10,440.7,791.3,Can Ste,0,9,7913
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,0,5970,10,597,597,Gre Ste,0,0,5970
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,11,5970,10,597,960.2,Gre Ste,0,11,9602
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,14,5970,10,597,1143.2,Gre Ste,0,14,11432
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,16,5970,10,597,1143.3,Gre Ste,0,16,11433
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,18,5970,10,597,1115.6,Gre Ste,0,18,11156
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,2,5970,10,597,720.3,Gre Ste,0,2,7203
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,4,5970,10,597,778.5,Gre Ste,0,4,7785
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,7,5970,10,597,771.3,Gre Ste,0,7,7713
11-Gre4LevSte-B4,B4,Lev,Ste,Gre,9,5970,10,597,862.4,Gre Ste,0,9,8624
11-Gre9BacNon-B9,B9,Bac,Non,Gre,0,4454,10,445.4,445.4,Gre Non,0,0,4454
11-Gre9BacNon-B9,B9,Bac,Non,Gre,11,4454,10,445.4,1025.6,Gre Non,0,11,10256
11-Gre9BacNon-B9,B9,Bac,Non,Gre,14,4454,10,445.4,1219.7,Gre Non,0,14,12197
11-Gre9BacNon-B9,B9,Bac,Non,Gre,16,4454,10,445.4,1334.1,Gre Non,0,16,13341
11-Gre9BacNon-B9,B9,Bac,Non,Gre,18,4454,10,445.4,1364.888888888889,Gre Non,0,18,13648.888888888889
11-Gre9BacNon-B9,B9,Bac,Non,Gre,2,4454,10,445.4,602.8,Gre Non,0,2,6028
11-Gre9BacNon-B9,B9,Bac,Non,Gre,4,4454,10,445.4,698.5,Gre Non,0,4,6985
11-Gre9BacNon-B9,B9,Bac,Non,Gre,7,4454,10,445.4,781.7,Gre Non,0,7,7817
11-Gre9BacNon-B9,B9,Bac,Non,Gre,9,4454,10,445.4,959,Gre Non,0,9,9590
11-Ita10ConNon-B10,B10,Con,Non,Ita,0,4921,10,492.1,492.1,Ita Non,0,0,4921
11-Ita10ConNon-B10,B10,Con,Non,Ita,11,4921,10,492.1,1097.4,Ita Non,0,11,10974
11-Ita10ConNon-B10,B10,Con,Non,Ita,14,4921,10,492.1,1224.7,Ita Non,0,14,12247
11-Ita10ConNon-B10,B10,Con,Non,Ita,16,4921,10,492.1,1298.2,Ita Non,0,16,12982
11-Ita10ConNon-B10,B10,Con,Non,Ita,18,4921,10,492.1,1343.7,Ita Non,0,18,13437
11-Ita10ConNon-B10,B10,Con,Non,Ita,2,4921,10,492.1,579.9,Ita Non,0,2,5799
11-Ita10ConNon-B10,B10,Con,Non,Ita,4,4921,10,492.1,668.5,Ita Non,0,4,6685
11-Ita10ConNon-B10,B10,Con,Non,Ita,7,4921,10,492.1,791.5,Ita Non,0,7,7915
11-Ita10ConNon-B10,B10,Con,Non,Ita,9,4921,10,492.1,994.8,Ita Non,0,9,9948
11-Ita1ConNon-B1,B1,Con,Non,Ita,0,5374,10,537.4,537.4,Ita Non,0,0,5374
11-Ita1ConNon-B1,B1,Con,Non,Ita,11,5374,10,537.4,956.2,Ita Non,0,11,9562
11-Ita1ConNon-B1,B1,Con,Non,Ita,14,5374,10,537.4,1237.4,Ita Non,0,14,12374
11-Ita1ConNon-B1,B1,Con,Non,Ita,16,5374,10,537.4,1221.8,Ita Non,0,16,12218
11-Ita1ConNon-B1,B1,Con,Non,Ita,18,5374,10,537.4,1189.6666666666667,Ita Non,0,18,11896.666666666668
11-Ita1ConNon-B1,B1,Con,Non,Ita,2,5374,10,537.4,594.2,Ita Non,0,2,5942
11-Ita1ConNon-B1,B1,Con,Non,Ita,4,5374,10,537.4,624.1,Ita Non,0,4,6241
11-Ita1ConNon-B1,B1,Con,Non,Ita,7,5374,10,537.4,732.5,Ita Non,0,7,7325
11-Ita1ConNon-B1,B1,Con,Non,Ita,9,5374,10,537.4,836,Ita Non,0,9,8360
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,0,4595,10,459.5,459.5,Ita Ser,0,0,4595
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,11,4595,10,459.5,806.5714285714286,Ita Ser,3,11,5646
11-Ita3BacSer-B3,B3,Bac,Ser,Ita,14,4595,10,459.5,905.7142857142857,Ita Ser,3,14,6340
