"","Identity","Bloc","Trt","Wound","Strain","Initial_Mass","Initial_Number","Initial_Mean","group","Time","Growth_Acc","Times"
"212","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",18,568.833333333333,"18"
"213","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",2,-35.5,"2"
"214","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",4,72.6111111111111,"4"
"215","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",7,63.2777777777778,"7"
"216","11-Ita3BacSer-B3","B3","Bac","Ser","Ita",4595,10,459.5,"Ser Bac",9,226.071428571429,"9"
"217","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",11,490.9,"11"
"218","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",14,738.4,"14"
"219","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",16,760.9,"16"
"220","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",18,754.4,"18"
"221","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",2,63.5,"2"
"222","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",4,76.0999999999999,"4"
"223","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",7,271.9,"7"
"224","11-Ita5ConSte-B5","B5","Con","Ste","Ita",6032,10,603.2,"Ste Con",9,380.1,"9"
"225","11-Ita6BacSte-B6","B6","Bac","Ste","Ita",4783,10,478.3,"Ste Bac",11,351.2,"11"
"226","11-Ita6BacSte-B6","B6","Bac","Ste","Ita",4783,10,478.3,"Ste Bac",14,486.033333333333,"14"
"227","11-Ita6BacSte-B6","B6","Bac","Ste","Ita",4783,10,478.3,"Ste Bac",16,571.033333333333,"16"
