Rep,Bloc,Trt,Strain,Time,Growth
FraB10,B10,B,Fra,0,0
FraB10,B10,B,Fra,1,14.125
FraB10,B10,B,Fra,10,14.428571428571445
FraB10,B10,B,Fra,11,22.714285714285722
FraB10,B10,B,Fra,12,-8.142857142857167
FraB10,B10,B,Fra,13,-11.714285714285722
FraB10,B10,B,Fra,14,19.85714285714289
FraB10,B10,B,Fra,2,19.75
FraB10,B10,B,Fra,3,13.875
FraB10,B10,B,Fra,4,25.821428571428584
FraB10,B10,B,Fra,5,2
FraB10,B10,B,Fra,6,8.142857142857139
FraB10,B10,B,Fra,7,15.714285714285722
FraB10,B10,B,Fra,8,9.14285714285711
FraB10,B10,B,Fra,9,41.428571428571445
FraB2,B2,B,Fra,0,0
FraB2,B2,B,Fra,1,16.5
FraB2,B2,B,Fra,10,21.80000000000001
FraB2,B2,B,Fra,11,-2.1999999999999886
FraB2,B2,B,Fra,12,62.19999999999999
FraB2,B2,B,Fra,13,58.4666666666667
FraB2,B2,B,Fra,14,37.666666666666686
FraB2,B2,B,Fra,2,24.30000000000001
FraB2,B2,B,Fra,3,16.099999999999966
FraB2,B2,B,Fra,4,12.600000000000023
FraB2,B2,B,Fra,5,27.600000000000023
FraB2,B2,B,Fra,6,-4.400000000000034
FraB2,B2,B,Fra,7,22.69999999999999
